date,merchant,amount,type,category
2025-01-01,Salary,45000,income,Income
2025-01-02,Uber,328,expense,Transport
2025-01-03,Dominos,908,expense,Food
2025-01-05,Netflix,261,expense,Entertainment
2025-01-06,Myntra,517,expense,Shopping
2025-01-12,Swiggy,864,expense,Food
2025-01-14,Flipkart,1137,expense,Shopping
2025-01-15,Zomato,502,expense,Food
2025-01-28,Flipkart,953,expense,Shopping
2025-02-01,Salary,45000,income,Income
2025-02-03,Uber,786,expense,Transport
2025-02-04,Dominos,800,expense,Food
2025-02-05,Amazon,4086,expense,Shopping
2025-02-13,Zomato,560,expense,Food
2025-02-14,Myntra,2877,expense,Shopping
2025-02-15,Spotify,1139,expense,Entertainment
2025-02-16,Amazon,4898,expense,Shopping
2025-02-23,Netflix,296,expense,Entertainment
2025-02-25,Myntra,3758,expense,Shopping
2025-03-01,Salary,45000,income,Income
2025-03-02,Electricity Bill,969,expense,Bills
2025-03-05,Uber,400,expense,Transport
2025-03-10,Electricity Bill,2579,expense,Bills
2025-03-13,Internet Bill,1314,expense,Bills
2025-03-14,Myntra,4644,expense,Shopping
2025-03-18,Ola,345,expense,Transport
2025-03-19,Electricity Bill,850,expense,Bills
2025-03-24,BookMyShow,538,expense,Entertainment
2025-03-25,Mobile Bill,1367,expense,Bills
2025-04-01,Salary,45000,income,Income
2025-04-04,Zomato,171,expense,Food
2025-04-06,Amazon,881,expense,Shopping
2025-04-08,Swiggy,488,expense,Food
2025-04-09,Flipkart,4276,expense,Shopping
2025-04-10,Myntra,4977,expense,Shopping
2025-04-12,Spotify,589,expense,Entertainment
2025-04-13,Spotify,1067,expense,Entertainment
2025-04-16,Swiggy,562,expense,Food
2025-04-19,Amazon,4693,expense,Shopping
2025-04-22,Amazon,3930,expense,Shopping
2025-04-25,Electricity Bill,882,expense,Bills
2025-04-28,Spotify,637,expense,Entertainment
2025-05-01,Salary,45000,income,Income
2025-05-01,Zomato,421,expense,Food
2025-05-04,Internet Bill,2493,expense,Bills
2025-05-05,Uber,159,expense,Transport
2025-05-09,Mobile Bill,2559,expense,Bills
2025-05-12,Electricity Bill,1261,expense,Bills
2025-05-13,Dominos,390,expense,Food
2025-05-18,Zomato,823,expense,Food
2025-05-22,Uber,371,expense,Transport
2025-05-25,Uber,109,expense,Transport
2025-05-29,Myntra,2472,expense,Shopping
2025-05-30,Uber,350,expense,Transport
2025-06-01,Salary,45000,income,Income
2025-06-01,Internet Bill,1739,expense,Bills
2025-06-05,Mobile Bill,924,expense,Bills
2025-06-07,Swiggy,910,expense,Food
2025-06-09,Electricity Bill,1904,expense,Bills
2025-06-10,Metro,600,expense,Transport
2025-06-11,Swiggy,799,expense,Food
2025-06-13,Zomato,939,expense,Food
2025-06-14,Uber,552,expense,Transport
2025-06-17,Dominos,302,expense,Food
2025-06-21,Amazon,2825,expense,Shopping
2025-06-25,Uber,798,expense,Transport
2025-06-26,Zomato,948,expense,Food
2025-07-01,Salary,45000,income,Income
2025-07-02,Amazon,3677,expense,Shopping
2025-07-03,Ola,785,expense,Transport
2025-07-06,Zomato,189,expense,Food
2025-07-08,Spotify,825,expense,Entertainment
2025-07-11,Flipkart,2989,expense,Shopping
2025-07-12,Zomato,509,expense,Food
2025-07-18,Uber,694,expense,Transport
2025-07-20,Dominos,594,expense,Food
2025-07-21,Ola,720,expense,Transport
2025-07-23,Electricity Bill,1543,expense,Bills
2025-07-24,Netflix,1264,expense,Entertainment
2025-07-31,Metro,421,expense,Transport
2025-08-01,Salary,45000,income,Income
2025-08-02,Metro,416,expense,Transport
2025-08-04,Metro,230,expense,Transport
2025-08-05,BookMyShow,556,expense,Entertainment
2025-08-07,Electricity Bill,1744,expense,Bills
2025-08-08,BookMyShow,1442,expense,Entertainment
2025-08-12,BookMyShow,547,expense,Entertainment
2025-08-14,Mobile Bill,882,expense,Bills
2025-08-18,Amazon,500,expense,Shopping
2025-08-19,BookMyShow,349,expense,Entertainment
2025-08-26,Swiggy,947,expense,Food
2025-08-28,Mobile Bill,705,expense,Bills
2025-08-31,Flipkart,4651,expense,Shopping
2025-09-01,Salary,45000,income,Income
2025-09-13,Myntra,2571,expense,Shopping
2025-09-17,Dominos,442,expense,Food
2025-09-18,Ola,653,expense,Transport
